user_id;condition;timing;image_id
263;2;127;13
263;2;877;14
263;2;151;15
263;2;116;16
263;2;76;17
263;2;112;18
272;1;0;1
272;1;0;2
272;1;0;3
272;1;10;4
272;1;8;5
272;1;20;6
272;1;14;7
272;1;29;8
272;1;45;9
272;1;18;10
272;1;9;11
272;1;11;12
272;1;18;13
272;1;9;14
272;1;24;15
272;1;8;16
272;1;22;17
272;1;15;18
273;2;0;1
273;2;0;2
273;2;0;3
273;2;18;4
273;2;14;5
273;2;21;6
273;2;21;7
273;2;15;8
273;2;29;9
273;2;28;10
273;2;18;11
273;2;28;12
273;2;17;13
273;2;20;14
273;2;27;15
273;2;19;16
273;2;22;17
273;2;11;18
273;2;14;19
273;2;15;39
273;2;17;59
273;2;12;79
273;2;15;99
301;4;0;1
301;4;0;1
301;4;0;2
301;4;0;3
301;4;55;4
301;4;39;5
301;4;64;6
301;4;52;7
301;4;32;8
301;4;46;9
301;4;65;10
301;4;44;11
301;4;48;12
301;4;34;13
301;4;29;14
301;4;20;15
301;4;70;16
301;4;38;17
301;4;36;18
304;1;0;1
304;1;0;2
304;1;0;3
304;1;17;4
304;1;8;5
304;1;15;6
304;1;25;7
304;1;13;8
304;1;38;9
304;1;9;10
304;1;14;11
304;1;15;12
304;1;15;13
304;1;14;14
304;1;23;15
304;1;10;16
304;1;12;17
304;1;13;18
313;1;0;1
313;1;0;2
313;1;0;3
313;1;15;4
313;1;12;5
313;1;15;6
313;1;7;7
313;1;18;8
313;1;17;9
313;1;12;10
313;1;21;11
313;1;14;12
313;1;15;13
313;1;24;14
313;1;18;15
313;1;14;16
313;1;19;17
313;1;40;18
339;3;0;1
339;3;0;1
339;3;0;2
339;3;0;3
339;3;76;4
339;3;68;5
339;3;43;6
339;3;61;7
339;3;80;8
339;3;108;9
339;3;73;10
339;3;44;11
339;3;119;12
339;3;117;13
339;3;317;14
339;3;73;15
339;3;79;16
339;3;69;17
339;3;57;18
339;3;103;19
339;3;73;39
339;3;54;59
339;3;45;79
339;3;53;99
341;4;0;1
341;4;0;1
341;4;0;2
341;4;0;3
341;4;37;4
341;4;13;5
